,irreps_type,tensor_product_type,lmax,Time,GFLOPs/s (min),GFLOPs/s (mean),GFLOPs/s (max),Total GFLOPs/s,GB/s (min),GB/s (mean),GB/s (max),Total GB/s
0,MIMO,CGTP-dense,1,4.544000000000599e-06,0.043860702237606984,0.043860702237606984,0.043860702237606984,0.043860702237606984,0.2623443872202188,0.2623443872202188,0.2623443872202188,1.1280808650270506
1,MIMO,CGTP-dense,2,2.2624004667691403e-05,0.0089093225264746,0.07340821219441122,0.18359918441807693,0.08661166428193273,0.0570197494700551,0.3230277233819166,1.0273352111782879,1.3278259710446874
2,MIMO,CGTP-dense,3,4.2623995375621867e-05,0.00881934256265753,0.23017646307809758,0.4979983329679781,0.24456397120465775,0.03762919493019581,0.8408922711303459,1.7712269823998212,2.005280355693618
3,MIMO,CGTP-dense,4,7.199999062755607e-05,0.07444252497641458,0.8363578627856706,1.6827486368563453,0.8150496442792085,0.38013166311196983,1.7835776167960526,2.4468384005781263,2.8047300386972007
4,MIMO,CGTP-dense,5,0.00018044799544986422,0.02593406831758848,1.2692104494312733,2.8875997440599996,1.1920493653021949,0.11065218708477914,2.3130705268979073,4.36969026170671,2.361090239835151
5,MIMO,CGTP-dense,6,0.0003659199812534283,0.0,1.7527078082241074,3.6653706475083356,1.547377062464439,0.23052538976073264,3.118287810864857,6.370559459971264,2.1964065132445874
6,MIMO,CGTP-dense,7,0.0006469440281331736,0.0,1.9452460210984794,3.8599571749789883,1.6951062273999458,0.22130437416955828,3.611433871216876,7.880725345369428,2.32045202989951
7,MIMO,CGTP-dense,8,0.0010043519859190035,0.0,2.172323517283848,5.8854371097619715,1.9158547599587992,0.20543880322016775,4.394784428914018,12.27816089916043,2.7464313204812827
8,MIMO,CGTP-sparse,1,2.0575990576807143e-05,0.0008819355604905095,0.003917747401329985,0.008014106754613228,0.00416415805327996,0.028221896197646857,0.06683309878843527,0.16196914341300725,0.9038033479118938
9,MIMO,CGTP-sparse,2,0.0001409599810898203,0.0,0.00526186320590454,0.014683013563706349,0.005345062882661902,0.009407298732548952,0.05565195359549549,0.22125342932529748,0.936185451448283
10,MIMO,CGTP-sparse,3,0.00044825596247361854,0.0005939548351897443,0.00795886252370465,0.02655082878843424,0.008086244832977027,0.019006583159789443,0.05984094169530747,0.45483195504173635,0.9666927019238313
11,MIMO,CGTP-sparse,4,0.00108083200480058,0.0006063288707378363,0.010687399964572951,0.038805107275767095,0.010820875806854997,0.01940255363471806,0.0625207062997197,0.5462565101124346,1.0357709923457903
12,MIMO,CGTP-sparse,5,0.00224956800009037,0.0005526048877122379,0.013442459726782865,0.0498218114597763,0.013668230877970715,0.01940255363471806,0.062224377314944845,0.9961614880338311,1.0599476030504253
13,MIMO,CGTP-sparse,6,0.004280799835078241,0.0,0.014473946693393549,0.049403201517485576,0.014779372757146667,0.018814597465097904,0.08863156069432522,1.6978726937249302,1.1245907621678743
14,MIMO,GTP-fourier,1,3.958398736877205e-05,0.21061955377847594,4.994909513931311,22.62612428584161,9.727034969748486,0.22057639924809336,0.8088095483612268,1.5760843570437282,2.096041127802067
15,MIMO,GTP-fourier,2,4.956777620030013e-05,1.3067430848219255,3.3257802353930264,12.164679548365132,2.410086117406924,1.4043753109313548,7.42597279233082,19.750196086475626,3.6964474117045696
16,MIMO,GTP-fourier,3,8.38015840723524e-05,0.09193546443314574,72.08897202941567,369.05523905949826,244.16755888359708,0.38297376899980007,22.996209198834066,77.3069932479225,7.271913710574412
17,MIMO,GTP-fourier,4,0.00012413629545408758,0.07787980047314923,145.2143748758339,730.7731173763518,484.6521190445451,0.6295050735864788,52.12000047420773,192.74601662481203,12.491708672344641
18,MIMO,GTP-fourier,5,0.00016835799278480472,0.10876926433626011,237.42324259869164,1183.6717006632357,820.4036831898951,0.8608864135108888,85.12300326666794,303.52492575292473,22.45007600754792
19,MIMO,GTP-fourier,6,0.0002156160510368833,0.15158245029501363,353.7826471375267,1834.5166538490562,1294.674607151377,1.2184803684521466,110.71799044689938,331.30736898649485,39.03481874229334
20,MIMO,GTP-fourier,7,0.00029731430264990467,0.20742645266174245,442.8890945662104,2504.391742887588,1687.7677501961136,1.5840443790424614,71.37993976986812,202.1140264321491,25.326244675627656
21,MIMO,GTP-grid,1,3.203200471885232e-05,1.007206243276847,38.425524338676276,131.7048686199855,35.78380845700056,1.2676335043366997,5.99728222425282,15.350765195386485,4.629630817764353
22,MIMO,GTP-grid,2,3.3215999998929955e-05,2.063021030966996,33.57140979895013,130.9802090484804,35.75453236957843,2.0323721604887397,12.254049551992987,31.17940619460307,9.155313633605479
23,MIMO,GTP-grid,3,4.105598590673618e-05,2.0096722240364233,29.444353121046266,120.66549311681531,31.276261797107438,2.768097652327269,20.35011685770138,71.9267588395346,15.85644372822148
24,MIMO,GTP-grid,4,4.787199062749359e-05,2.063023734145632,54.98469913566471,241.2728989781397,53.2730935441564,3.8538829552102833,42.864834715963475,183.43063337462024,25.88280410631617
25,MIMO,GTP-grid,5,5.2512000001566037e-05,2.0449296644443895,62.591712817948384,241.29863289293365,56.282303303999164,4.656612873077393,65.52817237160833,288.0458904721029,43.35956410633796
26,MIMO,GTP-grid,6,7.385599070001928e-05,2.081443588914616,73.8706675775855,259.04875532732893,45.452017630666425,5.386465666247532,32.196315540528545,59.28270610761829,27.16169542303659
27,MIMO,GTP-grid,7,7.971199063826068e-05,2.0449270347153865,57.07750957600021,130.52340364128125,39.602174438270616,6.1973193545360115,40.48265026198234,88.68008125118911,37.643232884494786
