lmax,irreps_type,tensor_product_type,batch,Time,normalization
7,SIMO,GTP-grid,10000,0.022936221957206727,15
8,SIMO,GTP-grid,10000,0.03343188762664795,17
9,SIMO,GTP-grid,10000,0.038733291625976565,19
10,SIMO,GTP-grid,10000,0.04428338408470154,21
1,SISO,VGTP-grid,10000,0.007420200109481812,7
2,SISO,VGTP-grid,10000,0.00817212462425232,13
3,SISO,VGTP-grid,10000,0.025743269920349122,19
4,SISO,VGTP-grid,10000,0.03525606095790863,25
5,SISO,VGTP-grid,10000,0.042550119757652285,31
6,SISO,VGTP-grid,10000,0.057944709062576295,37
7,SISO,VGTP-grid,10000,0.08370673954486847,43
8,SISO,VGTP-grid,10000,0.13225915133953095,49
9,SISO,VGTP-grid,10000,0.15058122873306273,55
10,SISO,VGTP-grid,10000,0.1719717413187027,61
1,SIMO,VGTP-grid,10000,0.0069115936756134035,7
2,SIMO,VGTP-grid,10000,0.007800143957138061,13
3,SIMO,VGTP-grid,10000,0.026432037353515625,19
4,SIMO,VGTP-grid,10000,0.03577857911586761,25
5,SIMO,VGTP-grid,10000,0.05680377781391144,31
6,SIMO,VGTP-grid,10000,0.07836235761642456,37
7,SIMO,VGTP-grid,10000,0.09973588883876801,43
8,SIMO,VGTP-grid,10000,0.13769356310367584,49
9,SIMO,VGTP-grid,10000,0.13383109867572784,55
10,SIMO,VGTP-grid,10000,0.1715452790260315,61
1,SISO,CGTP-sparse,10000,6.99758529663086e-06,1
2,SISO,CGTP-sparse,10000,0.0003123849630355835,1
3,SISO,CGTP-sparse,10000,7.343292236328125e-06,1
4,SISO,CGTP-sparse,10000,0.0005942970514297485,1
5,SISO,CGTP-sparse,10000,6.970763206481934e-06,1
6,SISO,CGTP-sparse,10000,0.0012691080570220946,1
7,SISO,CGTP-sparse,10000,6.9946050643920895e-06,1
8,SISO,CGTP-sparse,10000,0.002018857002258301,1
9,SISO,CGTP-sparse,10000,7.998943328857421e-06,1
10,SISO,CGTP-sparse,10000,0.002075600624084473,1
1,SIMO,CGTP-sparse,10000,0.0006746768951416016,2
2,SIMO,CGTP-sparse,10000,0.0013503789901733398,3
3,SIMO,CGTP-sparse,10000,0.002104553580284119,4
4,SIMO,CGTP-sparse,10000,0.003770887851715088,5
5,SIMO,CGTP-sparse,10000,0.0047564297914505,6
6,SIMO,CGTP-sparse,10000,0.008671259880065918,7
7,SIMO,CGTP-sparse,10000,0.01174185872077942,8
8,SIMO,CGTP-sparse,10000,0.016222473978996278,9
9,SIMO,CGTP-sparse,10000,0.020999255776405334,10
10,SIMO,CGTP-sparse,10000,0.03304392099380493,11
1,SISO,GTP-fourier,10000,0.012359935045242309,1
2,SISO,GTP-fourier,10000,0.024018102884292604,1
3,SISO,GTP-fourier,10000,0.10745398104190826,1
4,SISO,GTP-fourier,10000,0.24324218630790712,1
5,SISO,GTP-fourier,10000,0.48622685968875884,1
6,SISO,GTP-fourier,10000,0.8357733696699142,1
8,SISO,GTP-fourier,10000,2.3314162373542784,1
9,SISO,GTP-fourier,10000,3.4552297621965407,1
10,SISO,GTP-fourier,10000,5.026722377538681,1
1,SIMO,GTP-fourier,10000,0.012729683518409729,3
2,SIMO,GTP-fourier,10000,0.023009297251701356,5
3,SIMO,GTP-fourier,10000,0.09869904220104217,7
4,SIMO,GTP-fourier,10000,0.21835259795188905,9
5,SIMO,GTP-fourier,10000,0.43558165729045867,11
6,SIMO,GTP-fourier,10000,0.7520975828170776,13
7,SIMO,GTP-fourier,10000,1.4909981966018677,15
8,SIMO,GTP-fourier,10000,2.203257593512535,17
9,SIMO,GTP-fourier,10000,3.6556780725717544,19
10,SIMO,GTP-fourier,10000,4.7996123224496845,21
