lmax,irreps_type,tensor_product_type,batch,Time,normalization
6,MIMO,CGTP-sparse,10000,0.011899527907371522,140
7,MIMO,CGTP-sparse,10000,0.02440226674079895,204
8,MIMO,CGTP-sparse,10000,0.03518031239509582,285
9,MIMO,CGTP-sparse,10000,0.05999230146408081,385
10,MIMO,CGTP-sparse,10000,0.09268126785755157,506
1,SIMO,CGTP-sparse,10000,8.869171142578125e-05,2
2,SIMO,CGTP-sparse,10000,0.0001594454050064087,3
3,SIMO,CGTP-sparse,10000,0.00027672350406646726,4
4,SIMO,CGTP-sparse,10000,0.0004503905773162842,5
5,SIMO,CGTP-sparse,10000,0.0005693942308425904,6
6,SIMO,CGTP-sparse,10000,0.0008386552333831787,7
7,SIMO,CGTP-sparse,10000,0.001192048192024231,8
8,SIMO,CGTP-sparse,10000,0.0015864342451095581,9
9,SIMO,CGTP-sparse,10000,0.0023136645555496215,10
10,SIMO,CGTP-sparse,10000,0.0028841286897659303,11
1,SISO,CGTP-sparse,10000,6.438791751861572e-05,1
2,SISO,CGTP-sparse,10000,9.327828884124756e-05,1
3,SISO,CGTP-sparse,10000,6.761550903320313e-05,1
4,SISO,CGTP-sparse,10000,0.0001508951187133789,1
5,SISO,CGTP-sparse,10000,7.486343383789062e-05,1
6,SISO,CGTP-sparse,10000,0.00019285082817077637,1
7,SISO,CGTP-sparse,10000,6.944537162780761e-05,1
8,SISO,CGTP-sparse,10000,0.0002000182867050171,1
9,SISO,CGTP-sparse,10000,7.422268390655518e-05,1
10,SISO,CGTP-sparse,10000,0.0002722889184951782,1
1,MIMO,Matrix-TP,10000,9.304285049438477e-05,3
2,MIMO,Matrix-TP,10000,0.00037696659564971923,5
3,MIMO,Matrix-TP,10000,0.0006322711706161499,7
4,MIMO,Matrix-TP,10000,0.0011130452156066894,9
5,MIMO,Matrix-TP,10000,0.0010892540216445924,11
6,MIMO,Matrix-TP,10000,0.003933241963386536,13
7,MIMO,Matrix-TP,10000,0.0036263883113861082,15
8,MIMO,Matrix-TP,10000,0.008618107438087464,17
9,MIMO,Matrix-TP,10000,0.01043228805065155,19
10,MIMO,Matrix-TP,10000,0.021291038393974303,21
