lmax,irreps_type,tensor_product_type,batch,Time,normalization
3,SIMO,GTP-fourier,10000,0.0005542755126953125,7
4,SIMO,GTP-fourier,10000,0.001166069507598877,9
5,SIMO,GTP-fourier,10000,0.002420508861541748,11
6,SIMO,GTP-fourier,10000,0.004142668843269348,13
7,SIMO,GTP-fourier,10000,0.00691538155078888,15
8,SIMO,GTP-fourier,10000,0.011273431777954101,17
1,SISO,GTP-fourier,10000,0.00013571977615356445,1
2,SISO,GTP-fourier,10000,0.000270804762840271,1
3,SISO,GTP-fourier,10000,0.0005610108375549317,1
4,SISO,GTP-fourier,10000,0.001194816827774048,1
5,SISO,GTP-fourier,10000,0.0023025572299957275,1
6,SISO,GTP-fourier,10000,0.0041638433933258055,1
7,SISO,GTP-fourier,10000,0.006877285242080688,1
8,SISO,GTP-fourier,10000,0.011231175065040589,1
1,MIMO,CGTP-dense,10000,8.454322814941407e-05,5
2,MIMO,CGTP-dense,10000,0.0001105576753616333,14
3,MIMO,CGTP-dense,10000,0.0002485722303390503,30
4,MIMO,CGTP-dense,10000,0.000389745831489563,55
5,MIMO,CGTP-dense,10000,0.0008118748664855957,91
6,MIMO,CGTP-dense,10000,0.0010830730199813843,140
7,MIMO,CGTP-dense,10000,0.001974347233772278,204
8,MIMO,CGTP-dense,10000,0.0029696255922317507,285
1,SIMO,CGTP-dense,10000,8.772015571594239e-05,2
2,SIMO,CGTP-dense,10000,9.636878967285156e-05,3
3,SIMO,CGTP-dense,10000,8.655786514282227e-05,4
4,SIMO,CGTP-dense,10000,9.120106697082519e-05,5
5,SIMO,CGTP-dense,10000,9.967684745788574e-05,6
6,SIMO,CGTP-dense,10000,0.00012081563472747803,7
7,SIMO,CGTP-dense,10000,0.00014995038509368896,8
8,SIMO,CGTP-dense,10000,0.00019668936729431153,9
1,SISO,CGTP-dense,10000,5.385279655456543e-05,0
2,SISO,CGTP-dense,10000,8.897185325622559e-05,1
3,SISO,CGTP-dense,10000,5.6484341621398924e-05,0
4,SISO,CGTP-dense,10000,8.588731288909912e-05,1
5,SISO,CGTP-dense,10000,5.758702754974365e-05,0
6,SISO,CGTP-dense,10000,8.385777473449708e-05,1
7,SISO,CGTP-dense,10000,5.2857398986816404e-05,0
